,date,tweet_text
0,2020-03-25 06:02:50,"CORONA 19 UPDATE 
----------------------------------------------------------
Total effected : 420000
Recovered : 10… https://t.co/0lnw9QnTMx"
1,2020-03-25 06:03:31,"Anti Corona T-shirt collection is online for sale!! Get yourself one now !
https://t.co/2tYVYoukvY 
#21daysLockdown… https://t.co/dueW5ZhfeO"
2,2020-03-25 06:03:39,"The matter is serious. Take full care not to become a Nawab, Corona does not know that your uncle is an MLA @Avanish 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻 request you"
3,2020-03-25 06:03:56,All Mosque committee members headed by Syed Gayasuddin Qaudri addressed through a video message that all mosques of… https://t.co/cew5uyRdTk
4,2020-03-25 06:04:11,@aajtak If these Indians are already infected  with corona's symptoms then it will be my advice to Central govt.not… https://t.co/61coaRkuC0
5,2020-03-25 06:04:57,"@BhaavnaArora But CORONA is already in a relationship with more then 400000 people.
It won’t stay loyal to you 🙄"
6,2020-03-25 06:04:57,@PMOIndia @DelhiPolice @ArvindKejriwal peaple taking like a public holiday (gathered and discussion about corona vi… https://t.co/kgIp2VzmMQ
7,2020-03-25 06:05:05,Women seem to have stronger immunity to #Corona More men have died till now @HPKonemaneVK @Joshi_Aar https://t.co/cC4kCNmeW6
8,2020-03-25 06:05:46,"#SSC_UFM_MAT_KARONA
#Corona is slow poison #UFM is instant killer of thousands of genuine aspirants 
@DoPTGoI… https://t.co/Xx9CUN4qcf"
9,2020-03-25 06:05:56,"PM modi has announced 15,000 cr for fight against corona.
And kerala government announced 20,000cr package for kera… https://t.co/QawNdjbsOR"
10,2020-03-25 06:09:45,@siri_akkineni_ 😪😪😪 after watching crowds in markets Corona feeling happy with China and 69others ani post chesindi..... 😷😷😷
11,2020-03-25 06:10:35,"@narendramodi sir I'm from taranagar dist. Churu Rajasthan. 
Sir in this city many people are come from out of Indi… https://t.co/aNioeyOag1"
12,2020-03-25 06:10:42,"Kids back at home 🤩 Never knew they can act so well 💜
It feels great how beautifully they are telling us about Coro… https://t.co/AFFRk3dDMT"
13,2020-03-25 06:10:58,"Shri Narendra Modi ji 
Mera apse nivedan he ki pharmaceutical company bahi chalu rakhe jo corona virus related medi… https://t.co/S8IEDFgmYZ"
14,2020-03-25 06:11:16,China should be divested of its permanent membership from Security Council. They should be banned as was done to Af… https://t.co/SazP9Msfl8
15,2020-03-25 06:11:20,"@muk_iitb Test centres will be Corona spread centre then. People will queue up for hours.
India is populous country… https://t.co/Rn6f0SVjI7"
16,2020-03-25 06:11:33,"#GOA FIGHTS #CORONA 
Fernandes Chemist &amp; Druggist of Saligao maintaining #SocialDistancing.
Be a responsible citize… https://t.co/spaP1iMCKZ"
17,2020-03-25 06:11:36,"Let us all together fight against #Corona! 
Please stay at home.
#StayAtHome #CoronaVirus #RedFMTelugu https://t.co/V0W9fKgHUG"
18,2020-03-25 06:11:42,"China did lockdown for 35 days
China didn't give any economic package
Rather you shod concentrate what china has do… https://t.co/FwnoEA4Aqu"
19,2020-03-25 06:11:55,@chintskap And my mum will be PhD in Corona virus from WhatsApp university
20,2020-03-25 06:12:34,"#21daysLockdown 
#Day1 History is going to be written
.@narendramodi I completely welcomes the decision of #PMModi… https://t.co/l6rLawWd3u"
21,2020-03-25 06:12:34,"#HappyUgadi #HappyNewYear #21DaysChallenge 
Happy New Year India 🇮🇳 
India can beat Corona virus
#IndiaFightsCorona https://t.co/Qmg9vBbUNp"
22,2020-03-25 06:12:34,@PraveenBanandur @indersayee @Pawankhera @RahulGandhi You are arguing. Italy claims to have second best medical fac… https://t.co/WME0LkTIB9
23,2020-03-25 06:12:35,"Corona Virus Meme Compilation ft. @rajpalofficial
Video out now - https://t.co/tEJ30RuvdG
Stay Home! Stay Safe!… https://t.co/Jv2DWj4N0T"
24,2020-03-25 06:12:38,"When you are at safe at home, Corona is out busy infecting people spreading like a wild fire.
By being at home your… https://t.co/snz5c3epsg"
25,2020-03-25 06:12:43,"@HaikuCommentary in the air
i expected romance--
corona

--R K Singh"
26,2020-03-25 06:12:47,"* Romantic mood *
Crush - Tell me those three magical words 😍

Me - Go Corona Go 

#CoronavirusOutbreakindia… https://t.co/OTRWBn455W"
27,2020-03-25 06:13:29,India Lockdown – Evolve Mechanism For Passes For Security Guards And Safai Karmachari In NOIDA : Veteran Brig Ashok… https://t.co/oegKJzIETS
28,2020-03-25 06:13:35,"Lockdown series, Day 1: ensuring safety

The video says it all, stay at home enforcement at its full.

#lockdown… https://t.co/dYDsRBjDTZ"
29,2020-03-25 06:14:10,"Hello Foodies, Lets check this amazing home made burger.

#stayathome #eathealthy #corona #healthfood… https://t.co/MoZ4HXeSQY"
30,2020-03-25 06:14:19,"#Navratri2020 #Navratra 

Wishing Happy Greetings for Chaitra Navratra,Hindu New Year, Ugadi,Gudi Padwa &amp; Chetti Ch… https://t.co/hanoZ9gl0d"
31,2020-03-25 06:14:37,#nature had asked us to #slowdown #corona #QuaratineLife #QuarantineAndChill https://t.co/JgJqS3ifjh
32,2020-03-25 06:14:43,FIGHT AGIAN CORONA IN INDIA https://t.co/fkxhEJALAn
33,2020-03-25 06:15:30,Day 1 #IndiaStayHome @narendramodi India will Win Fight Against Corona Virus. Love You All💖💖 https://t.co/Qsi8keuwpj
34,2020-03-25 06:15:49,. First they allowed Corona possessions. Now they are stopping Kirana shops. Clearly nany bhakts are not listening… https://t.co/kMw8KvjFNp
35,2020-03-25 06:17:07,@ArvindKejriwal Sir. Please look into this and provide them shelter and food. https://t.co/4YCP4XPSSJ
36,2020-03-25 06:17:13,We support and recommend the Jantacurfew in order to stayhome to quarantine ourselves to break the chain of infecti… https://t.co/bttyVhs7jC
