,id_str,user_id,text,created_at,entities,user_location,lang,time_zone,location
0,1243216779750436866,771813582,"@Swamy39 @smartpraki Corona is born, nurtured and spread by China. It's antidote is also with China. They have now contained it but made sure it spread worldwide. They are now the greatest enemy of human race. All countries worldwide should unite to isolate China.",2020-03-26 16:42:32,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Swamy39', 'name': 'Subramanian Swamy', 'id': 60937837, 'id_str': '60937837', 'indices': [0, 8]}, {'screen_name': 'smartpraki', 'name': 'Prakash iyer', 'id': 242222888, 'id_str': '242222888', 'indices': [9, 20]}], 'urls': []}",,en,,India
1,1243216890329272320,587599466,"Was talking to someone from chennai and when asked how is Corona affecting lives and about any hardships.
He nonchalantly replied we have endured karuna and survived,  corona can b survive easily. 
@maapsindia @rspchary @SreenivasanJain @PrashantKishor @Mahesh10816 @shreikanth",2020-03-26 16:42:59,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maapsindia', 'name': 'Maps', 'id': 15493990, 'id_str': '15493990', 'indices': [198, 209]}, {'screen_name': 'rspchary', 'name': 'Partha R Chary🇮🇳', 'id': 232428527, 'id_str': '232428527', 'indices': [210, 219]}, {'screen_name': 'SreenivasanJain', 'name': 'Sreenivasan Jain', 'id': 374526155, 'id_str': '374526155', 'indices': [220, 236]}, {'screen_name': 'PrashantKishor', 'name': 'Prashant Kishor', 'id': 964875685872525313, 'id_str': '964875685872525313', 'indices': [237, 252]}, {'screen_name': 'Mahesh10816', 'name': 'Mahesh 🇮🇳', 'id': 140044212, 'id_str': '140044212', 'indices': [253, 265]}], 'urls': []}",,en,,"Mumbai, India"
2,1243216937460482048,4889660393,@drashwathcn @deepolice12 sir you both are my favourite and most capable hero’s if any difference btw you both is very disappointing us and it will impact a lot on Karnataka. My humble request please coordinate each other and kill this killer corona. @mla_sudhakar @sriramulubjp,2020-03-26 16:43:10,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'drashwathcn', 'name': 'Dr. Ashwathnarayan C. N.', 'id': 2885971046, 'id_str': '2885971046', 'indices': [0, 12]}, {'screen_name': 'deepolice12', 'name': 'Bhaskar Rao IPS', 'id': 917060544, 'id_str': '917060544', 'indices': [13, 25]}, {'screen_name': 'mla_sudhakar', 'name': 'Dr Sudhakar K', 'id': 742801860914864128, 'id_str': '742801860914864128', 'indices': [251, 264]}, {'screen_name': 'sriramulubjp', 'name': 'B Sriramulu', 'id': 2926777939, 'id_str': '2926777939', 'indices': [265, 278]}], 'urls': []}",,en,,"Bengaluru, India"
3,1243216982897393665,1145281609412648965,"Corona is a Viral Virus...
But working as a family whole world is Anti-Virus 🌎🇮🇳🌎 https://t.co/JiUJOTRSTL",2020-03-26 16:43:21,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1243216510283210752, 'id_str': '1243216510283210752', 'indices': [82, 105], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1243216510283210752/pu/img/VDAnoLoZl4RG5ft-.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1243216510283210752/pu/img/VDAnoLoZl4RG5ft-.jpg', 'url': 'https://t.co/JiUJOTRSTL', 'display_url': 'pic.twitter.com/JiUJOTRSTL', 'expanded_url': 'https://twitter.com/Akanksh05490188/status/1243216982897393665/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}}]}",,en,,
4,1243217009980178438,2445184111,"#IndiaFightsCorona
In this environment of deteriorating circumstances, we have to work with great patience. 
We all have to fight together against an epidemic like Corona. This disease will cause us both mental and financial damage. 
But we have to be patient.",2020-03-26 16:43:27,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [0, 18]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en,,gallery
5,1243217091001348097,15374654,"#Corona #virus is non living #protein nano particle. More people die in this world due to hunger,cancer,HIV, &amp; road accidents than #coronavirus. Act responsibly &amp; take precautions that’s all. Life &amp; death is God’s will &amp; not the domain of a protein #nanoparticle! @ndtv @PTI_News https://t.co/Pphv6Gh43J",2020-03-26 16:43:47,"{'hashtags': [{'text': 'Corona', 'indices': [0, 7]}, {'text': 'virus', 'indices': [8, 14]}, {'text': 'protein', 'indices': [29, 37]}, {'text': 'coronavirus', 'indices': [135, 147]}, {'text': 'nanoparticle', 'indices': [265, 278]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ndtv', 'name': 'NDTV', 'id': 37034483, 'id_str': '37034483', 'indices': [280, 285]}, {'screen_name': 'PTI_News', 'name': 'Press Trust of India', 'id': 245687754, 'id_str': '245687754', 'indices': [286, 295]}], 'urls': [], 'media': [{'id': 1243217084957331456, 'id_str': '1243217084957331456', 'indices': [296, 319], 'media_url': 'http://pbs.twimg.com/media/EUDLWheUEAAKtx9.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EUDLWheUEAAKtx9.jpg', 'url': 'https://t.co/Pphv6Gh43J', 'display_url': 'pic.twitter.com/Pphv6Gh43J', 'expanded_url': 'https://twitter.com/AbhishekVermaX/status/1243217091001348097/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 300, 'h': 180, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 300, 'h': 180, 'resize': 'fit'}, 'medium': {'w': 300, 'h': 180, 'resize': 'fit'}}}]}",,en,,"New Delhi, Delhi IN"
6,1243217093228507136,51406375,"What an anti-national this lady is, how can some spit venom all the time, just beyond wise imagination. #COVID2019 #COVIDー19 #CoronaVillains #Corona https://t.co/sDnDRJnClL",2020-03-26 16:43:47,"{'hashtags': [{'text': 'COVID2019', 'indices': [104, 114]}, {'text': 'COVIDー19', 'indices': [115, 124]}, {'text': 'CoronaVillains', 'indices': [125, 140]}, {'text': 'Corona', 'indices': [141, 148]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sDnDRJnClL', 'expanded_url': 'https://twitter.com/VidyaKrishnan/status/1243055823191805953', 'display_url': 'twitter.com/VidyaKrishnan/…', 'indices': [149, 172]}]}",,en,,India
7,1243217094264729600,2782161282,"Learn while you sit at home.
Register to learn a skill.
No registration fees!! 

https://t.co/T5h9W8u9d9

@spadelpu #spadelpu #spadekipathshala #webinar #online #learn #home #corona #narasimhapattapu https://t.co/b4a7rMnGfe",2020-03-26 16:43:47,"{'hashtags': [{'text': 'spadelpu', 'indices': [116, 125]}, {'text': 'spadekipathshala', 'indices': [126, 143]}, {'text': 'webinar', 'indices': [144, 152]}, {'text': 'online', 'indices': [153, 160]}, {'text': 'learn', 'indices': [161, 167]}, {'text': 'home', 'indices': [168, 173]}, {'text': 'corona', 'indices': [174, 181]}, {'text': 'narasimhapattapu', 'indices': [182, 199]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/T5h9W8u9d9', 'expanded_url': 'http://skp.spadelpu.com', 'display_url': 'skp.spadelpu.com', 'indices': [81, 104]}], 'media': [{'id': 1243217079114891267, 'id_str': '1243217079114891267', 'indices': [200, 223], 'media_url': 'http://pbs.twimg.com/media/EUDLWLtXgAMl0LY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EUDLWLtXgAMl0LY.jpg', 'url': 'https://t.co/b4a7rMnGfe', 'display_url': 'pic.twitter.com/b4a7rMnGfe', 'expanded_url': 'https://twitter.com/Narasimha9948/status/1243217094264729600/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1280, 'h': 1280, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}}}]}",,en,,Jangareddygudem
8,1243217097246687233,591552510,Good👏👏👏 https://t.co/7SDE2N0mVl,2020-03-26 16:43:48,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7SDE2N0mVl', 'expanded_url': 'https://twitter.com/xsanskriti/status/1243118998599790592', 'display_url': 'twitter.com/xsanskriti/sta…', 'indices': [8, 31]}]}",,en,,INDIA
9,1243217106876817408,91355149,@khanumarfa People are aware of the economic consequences of corona pandemic. At this time saving lives is more important than economics. But you and your expert probably don’t understand that.,2020-03-26 16:43:50,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'khanumarfa', 'name': 'Arfa Khanum Sherwani', 'id': 113571686, 'id_str': '113571686', 'indices': [0, 11]}], 'urls': []}",,en,,
