,date,tweet_text
0,2020-03-25 06:02:40,"@AusDHCIndia @AusHCIndia @ScottMorrisonMP should follow India's model and have a nation wide ban. Close all businesses, public transport, airports. Australians are not taking Corona virus seriously. And for God's sake CLOSE THE SCHOOLS."
1,2020-03-25 06:02:50,"CORONA 19 UPDATE 
----------------------------------------------------------
Total effected : 420000
Recovered : 107000
Fatality : 18500
Under Treatment : ( 420000-107000) = 313000
Fatality Rate = 18500/420000×100=  4.4 %
UT Rate = 74.52% 

GLOBAL FIGURE"
2,2020-03-25 06:03:31,"Anti Corona T-shirt collection is online for sale!! Get yourself one now !
https://t.co/2tYVYoukvY 
#21daysLockdown  #COVID2019  #IndiaFightsCorona https://t.co/AQqYNLe5T5"
3,2020-03-25 06:03:39,"The matter is serious. Take full care not to become a Nawab, Corona does not know that your uncle is an MLA @Avanish 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻 request you"
4,2020-03-25 06:03:56,"All Mosque committee members headed by Syed Gayasuddin Qaudri addressed through a video message that all mosques of #Narayanpet will remain closed till this lockdown period,no prayers will be offered in mosques also they urged citizens to stay indoors and pray in homes.#Corona https://t.co/zz3eI7EKsQ"
5,2020-03-25 06:04:11,"@aajtak If these Indians are already infected  with corona's symptoms then it will be my advice to Central govt.not to bring all those, let them be treated over there, because if they are brought here then every possibility of getting spread that virus in India."
6,2020-03-25 06:04:57,"@BhaavnaArora But CORONA is already in a relationship with more then 400000 people.
It won’t stay loyal to you 🙄"
7,2020-03-25 06:04:57,"@PMOIndia @DelhiPolice @ArvindKejriwal peaple taking like a public holiday (gathered and discussion about corona virus like virus is humen being) this lockdown, 

Please do the flagmarch of forces in gali mohalla so these people stays their houses. There are more in streets https://t.co/frQrhbUNZ4"
8,2020-03-25 06:05:05,Women seem to have stronger immunity to #Corona More men have died till now @HPKonemaneVK @Joshi_Aar https://t.co/cC4kCNmeW6
9,2020-03-25 06:05:46,"#SSC_UFM_MAT_KARONA
#Corona is slow poison #UFM is instant killer of thousands of genuine aspirants 
@DoPTGoI @PMOIndia @DrJitendraSingh https://t.co/ZgMDviNaDq"
